Tools,Port 2: NDI 8700339  s/n:34801403,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,Port 3: NDI 8700340  s/n:34802401,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Port 2: NDI 8700339  s/n:34801403,8300,1,OK,0.278875,0.4536324,-0.2510642,0.8083397,56.674,78.364,-1408.979,0.230202,4,OK,56.706,78.221,-1409.03,OK,61.32,30.906,-1394.438,OK,109.095,20.512,-1368.311,OK,110.805,83.455,-1383.374,Port 3: NDI 8700340  s/n:34802401,8300,1,OK,0.455044,0.1503592,-0.2733367,0.8340348,99.822,-174.234,-1238.893,0.1332713,4,OK,99.894,-174.21,-1239.043,OK,99.814,-203.798,-1198.51,OK,79.039,-244.488,-1166.274,OK,121.125,-243.386,-1122.219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Port 2: NDI 8700339  s/n:34801403,8303,1,OK,0.2788023,0.4539758,-0.251179,0.8081363,56.66,78.365,-1408.964,0.233098,4,OK,56.7,78.212,-1409.027,OK,61.322,30.904,-1394.431,OK,109.102,20.502,-1368.384,OK,110.803,83.443,-1383.379,Port 3: NDI 8700340  s/n:34802401,8303,1,OK,0.4549332,0.1503774,-0.2734502,0.8340548,99.823,-174.235,-1238.894,0.1164644,4,OK,99.893,-174.225,-1239.007,OK,99.82,-203.806,-1198.544,OK,79.043,-244.504,-1166.292,OK,121.117,-243.4,-1122.244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Port 2: NDI 8700339  s/n:34801403,8306,1,OK,0.2790383,0.4538464,-0.2509818,0.8081889,56.662,78.343,-1408.984,0.2280466,4,OK,56.692,78.198,-1409.013,OK,61.314,30.892,-1394.468,OK,109.099,20.483,-1368.323,OK,110.806,83.422,-1383.431,Port 3: NDI 8700340  s/n:34802401,8306,1,OK,0.4552468,0.1504669,-0.2733127,0.8339126,99.813,-174.26,-1238.9,0.1283393,4,OK,99.888,-174.242,-1239.03,OK,99.807,-203.827,-1198.53,OK,79.034,-244.51,-1166.269,OK,121.122,-243.418,-1122.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Port 2: NDI 8700339  s/n:34801403,8309,1,OK,0.2789865,0.4539131,-0.2511147,0.808128,56.665,78.375,-1408.952,0.2297307,4,OK,56.69,78.231,-1408.986,OK,61.316,30.922,-1394.45,OK,109.106,20.499,-1368.313,OK,110.812,83.44,-1383.397,Port 3: NDI 8700340  s/n:34802401,8309,1,OK,0.4552382,0.1504678,-0.2733428,0.8339073,99.813,-174.232,-1238.892,0.127152,4,OK,99.885,-174.219,-1239.021,OK,99.814,-203.797,-1198.519,OK,79.027,-244.489,-1166.268,OK,121.12,-243.395,-1122.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Port 2: NDI 8700339  s/n:34801403,8312,1,OK,0.2791195,0.4541473,-0.2509634,0.8079975,56.65,78.362,-1408.909,0.228186,4,OK,56.687,78.212,-1408.965,OK,61.311,30.909,-1394.366,OK,109.104,20.492,-1368.325,OK,110.808,83.437,-1383.373,Port 3: NDI 8700340  s/n:34802401,8312,1,OK,0.4553421,0.1503892,-0.2732616,0.8338914,99.828,-174.259,-1238.899,0.1390542,4,OK,99.898,-174.232,-1239.057,OK,99.82,-203.815,-1198.507,OK,79.032,-244.497,-1166.255,OK,121.121,-243.413,-1122.231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Port 2: NDI 8700339  s/n:34801403,8315,1,OK,0.2792261,0.4541603,-0.2508886,0.8079766,56.641,78.339,-1408.913,0.2261005,4,OK,56.671,78.196,-1408.949,OK,61.298,30.892,-1394.392,OK,109.105,20.46,-1368.295,OK,110.804,83.416,-1383.404,Port 3: NDI 8700340  s/n:34802401,8315,1,OK,0.4553812,0.1504885,-0.273283,0.833845,99.812,-174.272,-1238.878,0.1328174,4,OK,99.885,-174.255,-1239.014,OK,99.809,-203.831,-1198.502,OK,79.025,-244.52,-1166.236,OK,121.118,-243.433,-1122.239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Port 2: NDI 8700339  s/n:34801403,8318,1,OK,0.2793919,0.4546216,-0.2508904,0.8076592,56.632,78.399,-1408.851,0.2197709,4,OK,56.675,78.246,-1408.877,OK,61.303,30.94,-1394.342,OK,109.106,20.51,-1368.321,OK,110.823,83.462,-1383.403,Port 3: NDI 8700340  s/n:34802401,8318,1,OK,0.4552173,0.1504073,-0.2733085,0.8339408,99.816,-174.237,-1238.893,0.1233128,4,OK,99.89,-174.212,-1239.021,OK,99.807,-203.805,-1198.537,OK,79.028,-244.484,-1166.258,OK,121.119,-243.39,-1122.226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Port 2: NDI 8700339  s/n:34801403,8321,1,OK,0.2794103,0.4545788,-0.2508621,0.8076857,56.633,78.395,-1408.837,0.2219917,4,OK,56.673,78.244,-1408.848,OK,61.299,30.937,-1394.343,OK,109.108,20.509,-1368.281,OK,110.825,83.459,-1383.396,Port 3: NDI 8700340  s/n:34802401,8321,1,OK,0.455168,0.1503291,-0.2732727,0.8339936,99.819,-174.245,-1238.875,0.1247946,4,OK,99.89,-174.219,-1239.012,OK,99.809,-203.8,-1198.516,OK,79.024,-244.484,-1166.237,OK,121.117,-243.386,-1122.182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Port 2: NDI 8700339  s/n:34801403,8324,1,OK,0.2792707,0.454426,-0.2509311,0.8077985,56.638,78.369,-1408.898,0.2283252,4,OK,56.68,78.221,-1408.942,OK,61.296,30.907,-1394.373,OK,109.111,20.491,-1368.349,OK,110.817,83.435,-1383.407,Port 3: NDI 8700340  s/n:34802401,8324,1,OK,0.4552912,0.1503794,-0.2732713,0.8339177,99.82,-174.268,-1238.911,0.1347996,4,OK,99.893,-174.244,-1239.061,OK,99.808,-203.827,-1198.525,OK,79.023,-244.507,-1166.275,OK,121.117,-243.417,-1122.241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Port 2: NDI 8700339  s/n:34801403,8327,1,OK,0.2791709,0.4544228,-0.2510303,0.807804,56.635,78.38,-1408.856,0.2284445,4,OK,56.667,78.227,-1408.891,OK,61.299,30.922,-1394.356,OK,109.107,20.496,-1368.304,OK,110.818,83.439,-1383.363,Port 3: NDI 8700340  s/n:34802401,8327,1,OK,0.4552534,0.1503464,-0.2732879,0.8339389,99.821,-174.256,-1238.897,0.1264176,4,OK,99.893,-174.23,-1239.032,OK,99.809,-203.815,-1198.538,OK,79.022,-244.497,-1166.253,OK,121.109,-243.405,-1122.218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
